date,code,name,env,current_verdict,baseline_verdict,current_score,baseline_score,ret3,ret5,ret3_bucket,trend_structure,price_position,volume_behavior,previous_abnormal_move,macd_phase,signal,signal_type,daily_macd_phase_type,daily_macd_wave_index,daily_macd_wave_stage,daily_macd_rising_or_falling,daily_macd_bottom_divergence,daily_macd_top_divergence,weekly_macd_phase_type,weekly_macd_wave_index,weekly_macd_wave_stage,weekly_macd_bottom_divergence,weekly_macd_top_divergence,weekly_daily_combo_type,price_vs_90d_high,price_vs_90d_low,price_vs_90d_mid,midline_state,midline_breakout_volume_ratio,breakout_above_90d_mid_with_volume,pullback_confirm_vs_90d_mid,close_vs_ma25,close_vs_ma60,ma25_vs_ma60,ma25_slope_5d,ma60_slope_5d,support_stack_type,range_compression_20d,range_compression_40d,days_since_last_high,days_since_last_low,volume_ratio_5d,volume_ratio_10d,turnover_rate,turnover_rate_ratio_5d,daily_pct_chg,daily_macd_hist,daily_macd_hist_prev,daily_macd_hist_state,price_up_1d,turnover_up_1d,price_turnover_state,k_value,d_value,j_value,j_vs_k,j_vs_d,j_overheat,j_repair_from_low,bbi_bfq,close_vs_bbi,bbi_bias_state,bias1_bfq,bias2_bfq,bias3_bfq,bias_bucket,obv_bfq,obv_ratio_5d,obv_state
2026-03-11,001217.SZ,,weak,FAIL,FAIL,2.84,2.84,-6.0,-6.85,E,3.0,2.0,3.0,3.0,2.33,B2,rebound,falling,2,修复,falling,False,False,falling,2,强势,False,False,falling:2|falling:2,-15.86,13.44,-3.38,below_midline,2.04,False,False,1.32,2.92,1.58,-0.02,-0.41,bull_stack,0.29,0.28,14,23,2.04,1.94,7.91,2.04,6.54,-0.12,-0.18,green_or_zero,True,True,price_turnover_rise,33.66,27.4,46.2,12.54,18.8,False,True,13.69,2.35,above,4.57,1.11,1.03,positive,412.69,1.03,flat
2026-03-11,002145.SZ,,weak,WATCH,WATCH,3.56,3.56,-4.61,-7.62,D,4.0,3.0,5.0,3.0,2.75,B2,trend_start,rising,2,背离,rising,False,False,rising,2,背离,False,False,rising:2|rising:2,-4.08,21.81,7.33,reclaim_volume,1.71,True,True,6.79,10.57,3.54,0.68,0.59,bull_stack,0.57,0.49,73,52,1.71,1.71,5.94,1.71,7.84,0.01,-0.0,red_expanding,True,True,price_turnover_rise,48.17,50.77,42.96,-5.21,-7.81,False,False,5.4,4.49,above_extended,3.77,3.71,6.95,positive,11403.74,1.01,flat
2026-03-11,002159.SZ,,weak,WATCH,WATCH,3.48,3.48,5.15,2.09,B,4.0,2.0,4.0,3.0,2.61,B3,rebound,rising,1,背离,rising,False,True,rising,3,强势转分歧,False,False,rising:3|rising:1,-4.76,32.5,10.82,above_hold,0.95,False,False,9.2,18.61,8.61,3.86,1.81,bull_stack,0.15,0.12,8,52,0.95,0.78,4.85,0.95,-1.11,0.03,0.04,red_contracting,False,False,mixed,56.48,56.44,56.58,0.09,0.14,False,False,19.07,2.82,above,1.7,2.8,8.62,neutral,1444.45,1.0,flat
2026-03-11,002177.SZ,,weak,WATCH,WATCH,3.94,3.94,0.0,-5.08,D,4.0,4.0,4.0,5.0,2.53,B2,trend_start,falling,2,修复,falling,True,False,rising,2,背离,False,False,rising:2|falling:2,-10.19,44.98,10.91,pullback_confirm,1.47,False,True,9.75,14.47,4.3,1.91,2.24,bull_stack,0.36,0.24,36,60,1.47,1.29,29.2,1.47,9.99,-0.02,-0.05,green_or_zero,True,True,price_turnover_rise,45.89,44.57,48.52,2.63,3.95,False,True,8.74,5.87,above_extended,5.69,4.01,9.34,positive,14705.48,1.01,flat
2026-03-11,002254.SZ,,weak,FAIL,FAIL,3.11,3.11,2.95,-5.18,C,3.0,4.0,3.0,3.0,2.29,B2,rebound,falling,2,修复,falling,False,False,rising,1,背离,False,True,rising:1|falling:2,-11.06,36.41,7.68,above_hold,1.62,False,False,-1.02,7.47,8.57,-1.9,1.83,close_above_ma60,0.19,0.15,27,56,1.62,1.49,4.1,1.62,5.02,-0.15,-0.2,green_or_zero,True,True,price_turnover_rise,29.23,26.95,33.77,4.54,6.82,False,True,12.34,1.71,above,4.32,-0.28,-0.81,positive,3534.33,1.01,flat
2026-03-11,002258.SZ,,weak,WATCH,WATCH,3.65,3.65,-1.4,-6.69,D,4.0,4.0,5.0,3.0,2.53,B2,trend_start,falling,4,修复,falling,False,False,rising,5,背离,False,True,rising:5|falling:4,-8.92,34.98,8.77,above_hold,1.23,False,False,0.11,8.87,8.76,-1.14,1.57,bull_stack,0.35,0.15,23,82,1.23,1.2,3.19,1.23,4.25,-0.1,-0.15,green_or_zero,True,True,price_turnover_rise,40.0,33.85,52.31,12.31,18.46,False,False,16.12,2.0,above,3.12,1.3,0.46,positive,2048.9,1.0,flat
2026-03-11,002297.SZ,,weak,FAIL,FAIL,3.2,3.2,-6.97,-8.0,E,3.0,4.0,3.0,3.0,2.05,B3,rebound,falling,8,修复,falling,False,False,rising,3,背离,False,True,rising:3|falling:8,-13.85,47.03,8.65,above_hold,0.99,False,False,-0.55,5.24,5.82,-0.17,1.81,close_above_ma60,0.14,0.12,8,70,0.99,0.76,6.99,0.99,-2.09,-0.11,-0.13,green_or_zero,False,False,mixed,31.89,33.32,29.02,-2.86,-4.3,False,False,12.7,-0.52,below_near,1.96,-2.34,-0.78,neutral,5310.61,1.0,flat
2026-03-11,002361.SZ,,weak,WATCH,WATCH,3.75,3.75,-5.35,-8.17,E,4.0,3.0,3.0,5.0,2.29,B2,trend_start,falling,2,修复,falling,False,False,rising,0,背离,False,False,rising:0|falling:2,-25.7,115.87,10.55,above_hold,1.77,False,False,1.61,9.56,7.82,1.97,4.45,bull_stack,0.27,0.16,34,65,1.77,1.43,22.2,1.77,4.82,-0.12,-0.18,green_or_zero,True,True,price_turnover_rise,41.69,34.99,55.09,13.4,20.1,False,False,13.14,2.5,above,5.14,1.52,1.16,positive,4683.8,1.03,flat
2026-03-11,002440.SZ,,weak,FAIL,FAIL,3.13,3.13,-13.12,-16.02,F,4.0,2.0,4.0,3.0,2.53,B2,rebound,falling,4,修复,falling,False,False,rising,3,背离,False,True,rising:3|falling:4,-10.09,112.2,26.3,above_hold,1.34,False,False,6.97,42.31,33.04,7.33,5.59,bull_stack,0.21,0.07,9,70,1.34,1.09,11.96,1.34,6.02,-0.26,-0.31,green_or_zero,True,True,price_turnover_rise,47.02,39.75,61.56,14.55,21.82,False,False,14.31,3.37,above_extended,3.75,2.26,5.99,positive,4016.92,1.02,flat
2026-03-11,002511.SZ,,weak,WATCH,WATCH,3.55,3.55,-2.1,-2.1,D,4.0,2.0,5.0,3.0,2.61,B3,rebound,rising,1,背离,rising,False,True,rising,4,背离,False,False,rising:4|rising:1,-2.27,16.34,6.23,above_hold,1.02,False,False,6.09,8.01,1.81,0.85,0.52,bull_stack,0.12,0.11,8,20,1.02,0.85,1.95,1.02,1.12,0.03,0.02,red_expanding,True,False,price_up_turnover_not,55.53,52.29,62.01,6.48,9.72,False,False,8.75,3.26,above_extended,2.88,2.9,6.12,neutral,1520.1,1.02,flat
